title,author,path,source,categories,image
Projects,Isabella Velásquez,https://ivelasq.rbind.io/project,https://github.com/ivelasq/pipedream/blob/main/project.qmd,grid,thumbnails/ivelasq.rbind.io_project.png
Publications,Mickaël Canouil,https://mickael.canouil.fr/publications,https://github.com/mcanouil/mickael.canouil.fr/blob/main/publications.qmd,table,thumbnails/mickael.canouil.fr_publications.png
Learning Modules,Designing the data science classroom,https://rstudio-conf-2022.github.io/teach-ds/schedule.html,https://github.com/rstudio-conf-2022/teach-ds/blob/main/schedule.qmd,table,thumbnails/rstudio-conf-2022.github.io_teach-ds_schedule.html.png
Talks,Meghan Hall,https://meghan.rbind.io/talks/,https://github.com/meghall06/personal-website/blob/master/talks/index.qmd,custom,thumbnails/meghan.rbind.io_talks_.png
Teaching,Andrew Heiss,https://www.andrewheiss.com/teaching/,https://github.com/andrewheiss/ath-quarto/blob/main/teaching/index.qmd,custom,thumbnails/www.andrewheiss.com_teaching_.png
Conferences,R/Medicine,https://rconsortium.github.io/RMedicine_website/Events.html,https://github.com/RConsortium/RMedicine_website/blob/main/Events.qmd,custom,thumbnails/rconsortium.github.io_RMedicine_website_Events.html.png
People,Masiello Research Group,http://faculty.washington.edu/masiello/people/,https://github.com/MasielloGroup/MasielloGroupWebsite/blob/main/people/index.qmd,custom,thumbnails/faculty.washington.edu_masiello_people_.png
Accounts,Jeremy Allen,https://jeremydata.quarto.pub/lovelace-weekly-ops-report/,https://github.com/jeremy-allen/quarto-listings-report/blob/main/index.qmd,grid,thumbnails/jeremydata.quarto.pub_lovelace-weekly-ops-report_.png
Talks,Ella Kaye,https://ellakaye.co.uk/talks.html,https://github.com/EllaKaye/ellakaye.co.uk/blob/main/talks.qmd,grid,thumbnails/ellakaye.co.uk_talks.html.png
Publications,AffCom Lab,https://affcom.ku.edu/publications.html,https://github.com/jmgirard/affcomlab/blob/main/publications.qmd,custom,thumbnails/affcom.ku.edu_publications.html.png
Speakers,satRday template,https://satrdays.github.io/quarto-satrdays-template/program/speakers/,https://github.com/satRdays/quarto-satrdays-template/blob/main/program/speakers/index.qmd,custom,thumbnails/satrdays.github.io_quarto-satrdays-template_program_speakers_.png
Extensions,Quarto Extensions,https://m.canouil.dev/quarto-extensions/extensions.html,https://github.com/mcanouil/quarto-extensions/blob/main/extensions.qmd,grid,thumbnails/m.canouil.dev_quarto-extensions_extensions.html.png
Learning Resources,tidymodels,https://www.tidymodels.org/learn/,https://github.com/tidymodels/tidymodels.org/blob/main/learn/index.qmd,grid,thumbnails/www.tidymodels.org_learn_.png
Examples,Posit Workbench,https://docs.posit.co/helm/examples/workbench/,https://github.com/rstudio/helm/blob/main/examples/workbench/index.qmd,custom,thumbnails/docs.posit.co_helm_examples_workbench_.png
